,HTML_ID,TAG_NAME,ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_CLASS,ATTRIBUTE_PLACEHOLDER,IN_FORM,TAG_DEPTH,TAG_STRING,LABEL,ATTRIBUTE_ARIALABELEDBY,ATTRIBUTE_ROLE,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,LOGIN_URL
2528,31,li,None,None,None,None,FALSE,8,,0,None,None,None,None,http://www.regions.com/
2529,31,a,None,None,['regions-secondary-navigation-link'],None,FALSE,9,Contact Us,0,None,None,None,None,http://www.regions.com/
2530,31,li,None,None,None,None,FALSE,8,En Español,0,None,None,None,None,http://www.regions.com/
2531,31,a,None,None,['regions-secondary-navigation-link'],None,FALSE,9,En Español,0,None,None,None,None,http://www.regions.com/
2532,31,a,None,None,['regions-mobile-services-menu-back-link'],None,FALSE,8,,0,None,None,None,None,http://www.regions.com/
2533,31,span,None,None,['regions-accessible-text'],None,FALSE,9,Close the services menu and go back to the,0,None,None,None,None,http://www.regions.com/
2534,31,ul,None,None,['regions-services-list'],None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2535,31,li,None,None,None,None,FALSE,12,,0,None,None,None,None,http://www.regions.com/
2536,31,a,None,None,None,None,FALSE,13,1PlanPlus- Participant,0,None,None,None,None,http://www.regions.com/
2537,31,li,None,None,None,None,FALSE,12,,0,None,None,None,None,http://www.regions.com/
2538,31,a,None,None,None,None,FALSE,13,Collections,0,None,None,None,None,http://www.regions.com/
2539,31,li,None,None,None,None,FALSE,12,,0,None,None,None,None,http://www.regions.com/
2540,31,a,None,None,None,None,FALSE,13,My Mortgage,0,None,None,None,None,http://www.regions.com/
2541,31,li,None,None,None,None,FALSE,12,,0,None,None,None,None,http://www.regions.com/
2542,31,a,None,None,None,None,FALSE,13,My Student Loan,0,None,None,None,None,http://www.regions.com/
2543,31,li,None,None,None,None,FALSE,12,,0,None,None,None,None,http://www.regions.com/
2544,31,a,None,None,None,None,FALSE,13,Regions Online Banking,0,None,None,None,None,http://www.regions.com/
2545,31,li,None,None,None,None,FALSE,12,,0,None,None,None,None,http://www.regions.com/
2546,31,a,None,None,None,None,FALSE,13,Regions Wealth Platform,0,None,None,None,None,http://www.regions.com/
2547,31,ul,None,None,['regions-services-list'],None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2548,31,li,None,None,None,None,FALSE,12,,0,None,None,None,None,http://www.regions.com/
2549,31,a,None,None,['regions-onepass-eligible'],None,FALSE,13,iTreasury,0,None,None,None,None,http://www.regions.com/
